period,year,month,column,dtype
2024-12,2024,12,total_amount,double
2024-12,2024,12,payment_type,int64
2024-12,2024,12,trip_type,int64
2024-12,2024,12,congestion_surcharge,double
2025-01,2025,1,VendorID,int32
2025-01,2025,1,lpep_pickup_datetime,timestamp[us]
2025-01,2025,1,lpep_dropoff_datetime,timestamp[us]
2025-01,2025,1,store_and_fwd_flag,large_string
2025-01,2025,1,RatecodeID,int64
2025-01,2025,1,PULocationID,int32
2025-01,2025,1,DOLocationID,int32
2025-01,2025,1,passenger_count,int64
2025-01,2025,1,trip_distance,double
2025-01,2025,1,fare_amount,double
2025-01,2025,1,extra,double
2025-01,2025,1,mta_tax,double
2025-01,2025,1,tip_amount,double
2025-01,2025,1,tolls_amount,double
2025-01,2025,1,ehail_fee,double
2025-01,2025,1,improvement_surcharge,double
2025-01,2025,1,total_amount,double
2025-01,2025,1,payment_type,int64
2025-01,2025,1,trip_type,int64
2025-01,2025,1,congestion_surcharge,double
2025-01,2025,1,cbd_congestion_fee,double
2025-02,2025,2,VendorID,int32
2025-02,2025,2,lpep_pickup_datetime,timestamp[us]
2025-02,2025,2,lpep_dropoff_datetime,timestamp[us]
2025-02,2025,2,store_and_fwd_flag,large_string
2025-02,2025,2,RatecodeID,int64
2025-02,2025,2,PULocationID,int32
2025-02,2025,2,DOLocationID,int32
2025-02,2025,2,passenger_count,int64
2025-02,2025,2,trip_distance,double
2025-02,2025,2,fare_amount,double
2025-02,2025,2,extra,double
2025-02,2025,2,mta_tax,double
2025-02,2025,2,tip_amount,double
2025-02,2025,2,tolls_amount,double
2025-02,2025,2,ehail_fee,double
2025-02,2025,2,improvement_surcharge,double
2025-02,2025,2,total_amount,double
2025-02,2025,2,payment_type,int64
2025-02,2025,2,trip_type,int64
2025-02,2025,2,congestion_surcharge,double
2025-02,2025,2,cbd_congestion_fee,double
2025-03,2025,3,VendorID,int32
2025-03,2025,3,lpep_pickup_datetime,timestamp[us]
2025-03,2025,3,lpep_dropoff_datetime,timestamp[us]
2025-03,2025,3,store_and_fwd_flag,large_string
2025-03,2025,3,RatecodeID,int64
2025-03,2025,3,PULocationID,int32
2025-03,2025,3,DOLocationID,int32
2025-03,2025,3,passenger_count,int64
2025-03,2025,3,trip_distance,double
2025-03,2025,3,fare_amount,double
2025-03,2025,3,extra,double
2025-03,2025,3,mta_tax,double
2025-03,2025,3,tip_amount,double
2025-03,2025,3,tolls_amount,double
2025-03,2025,3,ehail_fee,double
2025-03,2025,3,improvement_surcharge,double
2025-03,2025,3,total_amount,double
2025-03,2025,3,payment_type,int64
2025-03,2025,3,trip_type,int64
2025-03,2025,3,congestion_surcharge,double
2025-03,2025,3,cbd_congestion_fee,double
2025-04,2025,4,VendorID,int32
2025-04,2025,4,lpep_pickup_datetime,timestamp[us]
2025-04,2025,4,lpep_dropoff_datetime,timestamp[us]
2025-04,2025,4,store_and_fwd_flag,large_string
2025-04,2025,4,RatecodeID,int64
2025-04,2025,4,PULocationID,int32
2025-04,2025,4,DOLocationID,int32
2025-04,2025,4,passenger_count,int64
2025-04,2025,4,trip_distance,double
2025-04,2025,4,fare_amount,double
2025-04,2025,4,extra,double
2025-04,2025,4,mta_tax,double
2025-04,2025,4,tip_amount,double
2025-04,2025,4,tolls_amount,double
2025-04,2025,4,ehail_fee,double
2025-04,2025,4,improvement_surcharge,double
2025-04,2025,4,total_amount,double
2025-04,2025,4,payment_type,int64
2025-04,2025,4,trip_type,int64
2025-04,2025,4,congestion_surcharge,double
2025-04,2025,4,cbd_congestion_fee,double
2025-05,2025,5,VendorID,int32
2025-05,2025,5,lpep_pickup_datetime,timestamp[us]
2025-05,2025,5,lpep_dropoff_datetime,timestamp[us]
2025-05,2025,5,store_and_fwd_flag,large_string
2025-05,2025,5,RatecodeID,int64
2025-05,2025,5,PULocationID,int32
2025-05,2025,5,DOLocationID,int32
2025-05,2025,5,passenger_count,int64
2025-05,2025,5,trip_distance,double
2025-05,2025,5,fare_amount,double
2025-05,2025,5,extra,double
2025-05,2025,5,mta_tax,double
2025-05,2025,5,tip_amount,double
2025-05,2025,5,tolls_amount,double
2025-05,2025,5,ehail_fee,double
2025-05,2025,5,improvement_surcharge,double
2025-05,2025,5,total_amount,double
2025-05,2025,5,payment_type,int64
2025-05,2025,5,trip_type,int64
2025-05,2025,5,congestion_surcharge,double
2025-05,2025,5,cbd_congestion_fee,double
2025-06,2025,6,VendorID,int32
2025-06,2025,6,lpep_pickup_datetime,timestamp[us]
2025-06,2025,6,lpep_dropoff_datetime,timestamp[us]
2025-06,2025,6,store_and_fwd_flag,large_string
2025-06,2025,6,RatecodeID,int64
2025-06,2025,6,PULocationID,int32
2025-06,2025,6,DOLocationID,int32
2025-06,2025,6,passenger_count,int64
2025-06,2025,6,trip_distance,double
2025-06,2025,6,fare_amount,double
2025-06,2025,6,extra,double
2025-06,2025,6,mta_tax,double
2025-06,2025,6,tip_amount,double
2025-06,2025,6,tolls_amount,double
2025-06,2025,6,ehail_fee,double
2025-06,2025,6,improvement_surcharge,double
2025-06,2025,6,total_amount,double
2025-06,2025,6,payment_type,int64
2025-06,2025,6,trip_type,int64
2025-06,2025,6,congestion_surcharge,double
2025-06,2025,6,cbd_congestion_fee,double
2025-07,2025,7,VendorID,int32
2025-07,2025,7,lpep_pickup_datetime,timestamp[us]
2025-07,2025,7,lpep_dropoff_datetime,timestamp[us]
2025-07,2025,7,store_and_fwd_flag,large_string
2025-07,2025,7,RatecodeID,int64
2025-07,2025,7,PULocationID,int32
2025-07,2025,7,DOLocationID,int32
2025-07,2025,7,passenger_count,int64
2025-07,2025,7,trip_distance,double
2025-07,2025,7,fare_amount,double
2025-07,2025,7,extra,double
2025-07,2025,7,mta_tax,double
2025-07,2025,7,tip_amount,double
2025-07,2025,7,tolls_amount,double
2025-07,2025,7,ehail_fee,double
2025-07,2025,7,improvement_surcharge,double
2025-07,2025,7,total_amount,double
2025-07,2025,7,payment_type,int64
2025-07,2025,7,trip_type,int64
2025-07,2025,7,congestion_surcharge,double
2025-07,2025,7,cbd_congestion_fee,double
2025-08,2025,8,VendorID,int32
2025-08,2025,8,lpep_pickup_datetime,timestamp[us]
2025-08,2025,8,lpep_dropoff_datetime,timestamp[us]
2025-08,2025,8,store_and_fwd_flag,large_string
2025-08,2025,8,RatecodeID,int64
2025-08,2025,8,PULocationID,int32
2025-08,2025,8,DOLocationID,int32
2025-08,2025,8,passenger_count,int64
2025-08,2025,8,trip_distance,double
2025-08,2025,8,fare_amount,double
2025-08,2025,8,extra,double
2025-08,2025,8,mta_tax,double
2025-08,2025,8,tip_amount,double
2025-08,2025,8,tolls_amount,double
2025-08,2025,8,ehail_fee,double
2025-08,2025,8,improvement_surcharge,double
2025-08,2025,8,total_amount,double
2025-08,2025,8,payment_type,int64
2025-08,2025,8,trip_type,int64
2025-08,2025,8,congestion_surcharge,double
2025-08,2025,8,cbd_congestion_fee,double
2025-09,2025,9,VendorID,int32
2025-09,2025,9,lpep_pickup_datetime,timestamp[us]
2025-09,2025,9,lpep_dropoff_datetime,timestamp[us]
2025-09,2025,9,store_and_fwd_flag,large_string
2025-09,2025,9,RatecodeID,int64
2025-09,2025,9,PULocationID,int32
2025-09,2025,9,DOLocationID,int32
2025-09,2025,9,passenger_count,int64
2025-09,2025,9,trip_distance,double
2025-09,2025,9,fare_amount,double
2025-09,2025,9,extra,double
2025-09,2025,9,mta_tax,double
2025-09,2025,9,tip_amount,double
2025-09,2025,9,tolls_amount,double
2025-09,2025,9,ehail_fee,double
2025-09,2025,9,improvement_surcharge,double
2025-09,2025,9,total_amount,double
2025-09,2025,9,payment_type,int64
2025-09,2025,9,trip_type,int64
2025-09,2025,9,congestion_surcharge,double
2025-09,2025,9,cbd_congestion_fee,double
2025-10,2025,10,VendorID,int32
2025-10,2025,10,lpep_pickup_datetime,timestamp[us]
2025-10,2025,10,lpep_dropoff_datetime,timestamp[us]
2025-10,2025,10,store_and_fwd_flag,large_string
2025-10,2025,10,RatecodeID,int64
2025-10,2025,10,PULocationID,int32
2025-10,2025,10,DOLocationID,int32
2025-10,2025,10,passenger_count,int64
2025-10,2025,10,trip_distance,double
2025-10,2025,10,fare_amount,double
2025-10,2025,10,extra,double
2025-10,2025,10,mta_tax,double
2025-10,2025,10,tip_amount,double
2025-10,2025,10,tolls_amount,double
2025-10,2025,10,ehail_fee,double
2025-10,2025,10,improvement_surcharge,double
2025-10,2025,10,total_amount,double
2025-10,2025,10,payment_type,int64
2025-10,2025,10,trip_type,int64
2025-10,2025,10,congestion_surcharge,double
2025-10,2025,10,cbd_congestion_fee,double
2025-11,2025,11,VendorID,int32
2025-11,2025,11,lpep_pickup_datetime,timestamp[us]
2025-11,2025,11,lpep_dropoff_datetime,timestamp[us]
2025-11,2025,11,store_and_fwd_flag,large_string
2025-11,2025,11,RatecodeID,int64
2025-11,2025,11,PULocationID,int32
2025-11,2025,11,DOLocationID,int32
2025-11,2025,11,passenger_count,int64
2025-11,2025,11,trip_distance,double
2025-11,2025,11,fare_amount,double
2025-11,2025,11,extra,double
2025-11,2025,11,mta_tax,double
2025-11,2025,11,tip_amount,double
2025-11,2025,11,tolls_amount,double
2025-11,2025,11,ehail_fee,double
2025-11,2025,11,improvement_surcharge,double
2025-11,2025,11,total_amount,double
2025-11,2025,11,payment_type,int64
2025-11,2025,11,trip_type,int64
2025-11,2025,11,congestion_surcharge,double
2025-11,2025,11,cbd_congestion_fee,double
2025-12,2025,12,VendorID,int32
2025-12,2025,12,lpep_pickup_datetime,timestamp[us]
2025-12,2025,12,lpep_dropoff_datetime,timestamp[us]
2025-12,2025,12,store_and_fwd_flag,large_string
2025-12,2025,12,RatecodeID,int64
2025-12,2025,12,PULocationID,int32
2025-12,2025,12,DOLocationID,int32
2025-12,2025,12,passenger_count,int64
2025-12,2025,12,trip_distance,double
2025-12,2025,12,fare_amount,double
2025-12,2025,12,extra,double
2025-12,2025,12,mta_tax,double
2025-12,2025,12,tip_amount,double
2025-12,2025,12,tolls_amount,double
2025-12,2025,12,ehail_fee,double
2025-12,2025,12,improvement_surcharge,double
2025-12,2025,12,total_amount,double
2025-12,2025,12,payment_type,int64
2025-12,2025,12,trip_type,int64
2025-12,2025,12,congestion_surcharge,double
2025-12,2025,12,cbd_congestion_fee,double
2026-01,2026,1,VendorID,int32
2026-01,2026,1,lpep_pickup_datetime,timestamp[us]
2026-01,2026,1,lpep_dropoff_datetime,timestamp[us]
2026-01,2026,1,store_and_fwd_flag,large_string
2026-01,2026,1,RatecodeID,int64
2026-01,2026,1,PULocationID,int32
2026-01,2026,1,DOLocationID,int32
2026-01,2026,1,passenger_count,int64
2026-01,2026,1,trip_distance,double
2026-01,2026,1,fare_amount,double
2026-01,2026,1,extra,double
2026-01,2026,1,mta_tax,double
2026-01,2026,1,tip_amount,double
2026-01,2026,1,tolls_amount,double
2026-01,2026,1,ehail_fee,double
2026-01,2026,1,improvement_surcharge,double
2026-01,2026,1,total_amount,double
2026-01,2026,1,payment_type,int64
2026-01,2026,1,trip_type,int64
2026-01,2026,1,congestion_surcharge,double
2026-01,2026,1,cbd_congestion_fee,double
2026-02,2026,2,VendorID,int32
2026-02,2026,2,lpep_pickup_datetime,timestamp[us]
2026-02,2026,2,lpep_dropoff_datetime,timestamp[us]
2026-02,2026,2,store_and_fwd_flag,large_string
2026-02,2026,2,RatecodeID,int64
2026-02,2026,2,PULocationID,int32
2026-02,2026,2,DOLocationID,int32
2026-02,2026,2,passenger_count,int64
2026-02,2026,2,trip_distance,double
2026-02,2026,2,fare_amount,double
2026-02,2026,2,extra,double
